backlog_row,priority,title,creator,candidate_id,current_outcome,importer_status,blocker,updated_at
2,P0,36 Questions,Two-Up Productions,,unattempted,,,
3,P0,Mission to Zyxx,Maximum Fun,,unattempted,,,
4,P0,Hello From the Magic Tavern,Arnie Niekamp,,already-indexed,,,
5,P0,The Thrilling Adventure Hour,Ben Acker & Ben Blacker,,unattempted,,,
6,P0,The Red Panda Adventures,Decoder Ring Theatre,,unattempted,,,
7,P0,Second Shift,Blue Sky Red Design,,unattempted,,,
8,P0,The Radio Adventures of Dr. Floyd,Grant Baciocco & Doug Price,,unattempted,,,
9,P0,Steal the Stars,Gideon Media,,unattempted,,,
10,P0,The Archers,BBC,,unattempted,,,
11,P0,Bronzeville,Cinema Gypsy Productions,,unattempted,,,
12,P0,The Unexplainable Disappearance of Mars Patel,Gen-Z Media,,unattempted,,,
13,P0,Batman Unburied,Spotify / Warner Bros. / DC,,unattempted,,,
14,P1,Black Jack Justice,Decoder Ring Theatre,36300931-4587-4ca1-95bf-070b6deedbdf,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; cover-not-ready; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:21:23
15,P0,Wormwood: A Serialized Mystery,Habit Forming Films,,unattempted,,,
16,P1,How to Succeed in Evil,Patrick E. McLean,9e31692a-80db-41ef-b299-57731bc52166,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:20:57
17,P0,The Cleansed,FinalRune Productions,,unattempted,,,
18,P1,19 Nocturne Boulevard,Julie Hoverson,653241ae-a1e9-4a7e-9d32-e7585e5bbfb9,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:21:13
19,P1,The Bunker,Definitely Human,b7cb5801-7818-4032-9cc4-c193f2a10281,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:21:19
20,P0,MarsCorp,Definitely Human,,unattempted,,,
21,P1,The Monster Hunters,Definitely Human,c2ed3ee8-c4d9-4474-b08c-15f9bd084612,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:21:10
23,P1,The Kingery,Pendant Productions / Pendant Audio,7b2dd527-c271-4707-875b-8c4dbb72a6f9,needs-review,needs-review,source-conflict; duplicate-ambiguity,2026-08-15 17:22:15
24,P1,Genesis Avalon,Pendant Audio,fc08ec18-9fb4-474b-9d1c-0e748c5b5a69,needs-review,needs-review,source-conflict; duplicate-ambiguity,2026-08-15 17:22:14
25,P1,Seminar,Pendant Productions / Pendant Audio,c5220327-5749-46c3-875c-3b0e577fa7ac,needs-review,needs-review,source-conflict; duplicate-ambiguity,2026-08-15 17:20:59
26,P1,Dreamnasium,Pendant Audio,a5ca1f27-5422-48bf-b252-4daf7552923d,needs-review,needs-review,source-conflict; duplicate-ambiguity,2026-08-15 17:22:15
27,P1,Almelem,Gideon Media,3934f1d7-f629-43f5-a416-e5921df90d35,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:21:11
28,P1,Ask Your Father,Gideon Media,c2e200e9-d44c-4a9e-bd32-b5a998e99d98,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:20:58
32,P1,See You in Your Nightmares,Audible,929165a1-7ad2-4a94-bb97-4470dd888651,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:21:19
33,P1,It Makes a Sound,Night Vale Presents,491799d5-a529-4dc3-aa39-c1e332d1f0d9,needs-review,needs-review,scope-review; source-conflict,2026-08-15 17:22:14
34,P1,Adventures in New America,Night Vale Presents,,already-indexed,,,
35,P1,Unlicensed,Night Vale Presents / Audible,7fafa56e-4996-4d2b-866e-540489685eeb,needs-review,needs-review,scope-review; source-conflict,2026-08-15 17:21:12
36,P0,Arden,Wheyface Radio,,already-indexed,,,
